street,streetLabel,namedAfter,namedAfterLabel,namedAfterDescription,genderLabel,birthYear,deathYear,occupationLabel,nationalityLabel
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1500,1585,arquitecto,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1501,1585,ingeniero,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1500,1585,ingeniero,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1501,1585,matemático,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1500,1585,matemático,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1501,1585,inventor,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1500,1585,inventor,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1501,1585,escultor,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1500,1585,escultor,España
http://www.wikidata.org/entity/Q118712092,calle de Julio Camba,http://www.wikidata.org/entity/Q593405,Julio Camba,"escritor, periodista y anarquista español",masculino,1884,1962,periodista,España
http://www.wikidata.org/entity/Q26806522,calle de Julián Besteiro,http://www.wikidata.org/entity/Q930045,José Enrique Varela,militar español,masculino,1891,1951,militar,España
http://www.wikidata.org/entity/Q26806522,calle de Julián Besteiro,http://www.wikidata.org/entity/Q930045,José Enrique Varela,militar español,masculino,1891,1951,político,España
http://www.wikidata.org/entity/Q26806522,calle de Julián Besteiro,http://www.wikidata.org/entity/Q2467469,Julián Besteiro,académico y político español,masculino,1870,1940,político,España
http://www.wikidata.org/entity/Q26806522,calle de Julián Besteiro,http://www.wikidata.org/entity/Q2467469,Julián Besteiro,académico y político español,masculino,1870,1940,profesor,España
http://www.wikidata.org/entity/Q26806522,calle de Julián Besteiro,http://www.wikidata.org/entity/Q2467469,Julián Besteiro,académico y político español,masculino,1870,1940,filósofo,España
http://www.wikidata.org/entity/Q26806522,calle de Julián Besteiro,http://www.wikidata.org/entity/Q2467469,Julián Besteiro,académico y político español,masculino,1870,1940,profesor de educación secundaria,España
http://www.wikidata.org/entity/Q26806522,calle de Julián Besteiro,http://www.wikidata.org/entity/Q2467469,Julián Besteiro,académico y político español,masculino,1870,1940,sindicalista,España
http://www.wikidata.org/entity/Q29051365,calle de Julián Gayarre,http://www.wikidata.org/entity/Q1366357,Julián Gayarre,tenor español,masculino,1844,1890,actor de teatro,España
http://www.wikidata.org/entity/Q29051365,calle de Julián Gayarre,http://www.wikidata.org/entity/Q1366357,Julián Gayarre,tenor español,masculino,1844,1890,cantante de ópera,España
http://www.wikidata.org/entity/Q29919201,calle de Julián Romea,http://www.wikidata.org/entity/Q9016623,Julián Romea,actor español,masculino,1813,1868,actor,España
http://www.wikidata.org/entity/Q29919201,calle de Julián Romea,http://www.wikidata.org/entity/Q9016623,Julián Romea,actor español,masculino,1813,1868,escritor,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1899,1936,escritor,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1899,1940,escritor,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1893,1936,escritor,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1893,1940,escritor,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1899,1936,político,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1899,1940,político,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1893,1936,político,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1893,1940,político,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1899,1936,periodista,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1899,1940,periodista,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1893,1936,periodista,España
http://www.wikidata.org/entity/Q28973782,calle de Julián Zugazagoitia,http://www.wikidata.org/entity/Q3502901,Julián Zugazagoitia,político español,masculino,1893,1940,periodista,España
http://www.wikidata.org/entity/Q28064981,calle de Lagasca,http://www.wikidata.org/entity/Q891966,Mariano Lagasca,médico y botánico español (1776-1839),masculino,1776,1839,médico,España
http://www.wikidata.org/entity/Q28064981,calle de Lagasca,http://www.wikidata.org/entity/Q891966,Mariano Lagasca,médico y botánico español (1776-1839),masculino,1776,1839,agrónomo,España
http://www.wikidata.org/entity/Q28064981,calle de Lagasca,http://www.wikidata.org/entity/Q891966,Mariano Lagasca,médico y botánico español (1776-1839),masculino,1776,1839,recolector de plantas,España
http://www.wikidata.org/entity/Q28064981,calle de Lagasca,http://www.wikidata.org/entity/Q891966,Mariano Lagasca,médico y botánico español (1776-1839),masculino,1776,1839,botánico,España
http://www.wikidata.org/entity/Q28064981,calle de Lagasca,http://www.wikidata.org/entity/Q891966,Mariano Lagasca,médico y botánico español (1776-1839),masculino,1776,1839,recolector científico,España
http://www.wikidata.org/entity/Q28032558,calle de Larra,http://www.wikidata.org/entity/Q298773,Mariano José de Larra,"escritor, periodista y político español (1809-1837)",masculino,1809,1837,escritor,España
http://www.wikidata.org/entity/Q28032558,calle de Larra,http://www.wikidata.org/entity/Q298773,Mariano José de Larra,"escritor, periodista y político español (1809-1837)",masculino,1809,1837,poeta,España
http://www.wikidata.org/entity/Q28032558,calle de Larra,http://www.wikidata.org/entity/Q298773,Mariano José de Larra,"escritor, periodista y político español (1809-1837)",masculino,1809,1837,dramaturgo,España
http://www.wikidata.org/entity/Q28032558,calle de Larra,http://www.wikidata.org/entity/Q298773,Mariano José de Larra,"escritor, periodista y político español (1809-1837)",masculino,1809,1837,periodista,España
