name,etymology_wikidata_ids,etymology_text,highway_types,osm_way_count
Calle del Conde de Romanones,Q250975,,residential,3
Calle del Conde de la Cimera,Q30045782,,residential,2
Calle del Corindón,Q131777,,residential,1
Calle del Cromo,Q725,,residential,2
Calle del Darro,Q1166701,,residential,1
Calle del Discóbolo,Q133732,,residential,1
Calle del Doce de Octubre,Q2745862,,residential,4
Calle del Doctor Castelo,Q57779199,,residential,2
Calle del Doctor Cortezo,Q28031508,,residential,2
Calle del Doctor Esquerdo,Q9014392,,primary;primary_link;residential,89
Calle del Doctor Fleming,Q37064,,residential,4
Calle del Doctor Gómez Ulla,Q5997764,,residential,3
Calle del Doctor Juan José López Ibor,Q9015676,,residential,1
Calle del Doctor Laguna,Q524380,,residential,4
Calle del Doctor Ramón Castroviejo,Q4216907,,residential,4
Calle del Doctor Severo Ochoa,Q233957,,residential,1
Calle del Dodge,Q27564,,pedestrian,1
Calle del Dos Caballos,Q326015,,pedestrian,1
Calle del Dos de Mayo,Q181146,,pedestrian;residential,2
Calle del Duque de Rivas,Q155463,,residential,2
Calle del Duque de Sesto,Q5940663,,residential,4
Calle del Elfo,Q174396,,residential,3
Calle del Embalse de El Vellón,Q11681440,,pedestrian,1
Calle del Embalse de La Jarosa,Q1329216,,residential,1
Calle del Embalse de Navacerrada,Q5369450,,residential,3
Calle del Embalse de Picadas,Q5830546,,residential,1
Calle del Embalse de Pinilla,Q8775372,,residential,2
Calle del Embalse de San Juan,Q5830564,,residential,3
Calle del Embalse de Valmayor,Q8775397,,residential,1
Calle del Embalse del Manzanares,Q3373807,,residential,1
Calle del Españoleto,Q297838,,residential,1
Calle del Fresno,Q156907,,footway;pedestrian,3
Calle del General Arrando,Q9013676,,residential,1
Calle del General Díaz Porlier,Q3077096,,residential,4
Calle del General Pardiñas,Q6099921,,residential,5
Calle del General Ramírez de Madrid,Q5162384,,pedestrian;residential,5
Calle del General Ricardos,Q2438029,,primary,2
Calle del Generalife,Q525811,,residential,1
Calle del Ginebro,Q26325,,residential,1
Calle del Gobernador,Q47494747,,residential,3
Calle del Golfo de Salónica,Q913418,,residential,2
Calle del Hierro,Q677,,residential,3
Calle del Horizon,Q1362801,,pedestrian,1
Calle del Idioma Esperanto,Q143,,residential,4
Calle del Infante Diego,Q668424,,residential,1
Calle del Infante Fernando,Q574024,,residential,1
Calle del Jazmín,Q82014,,residential,13
Calle del Jengibre,Q35625,,residential,2
Calle del Lago Constanza,Q4127,,residential,7
Calle del Lago Erie,Q5492,,residential,1
Calle del Lago Leman,Q6403,,residential,1
Calle del Lago Van,Q126307,,service,1
Calle del Laúd,Q180733,,residential,3
Calle del León,Q15839300,,living_street,2
Calle del Lozoya,Q16511,,residential,1
Calle del Maestro Sorozábal,Q2206252,,residential,1
Calle del Maestro Victoria,Q5741016,,pedestrian;residential,3
Calle del Mar Caspio,Q5484,,residential,7
Calle del Mar Menor,Q1553876,,residential,2
Calle del Mar Negro,Q166,,residential,2
Calle del Mar de Aral,Q35883,,residential,1
Calle del Marqués de Cubas,Q19304646,,residential,2
Calle del Marqués de Leganés,Q6000509,,living_street,1
Calle del Marqués de Riscal,Q5742129,,residential,1
Calle del Marqués de Santa Ana,Q19458190,,residential,1
Calle del Marqués de Urquijo,Q8843105,,primary,8
Calle del Marqués del Duero,Q325762,,residential,1
Calle del Mecánico Rada,Q16658408,,residential,2
Calle del Mesón de Paredes,Q5686332,,living_street,4
Calle del Néctar,Q919702,,residential,3
Calle del Oboe,Q8377,,residential,4
Calle del Oligisto,Q103223,,residential,2
Calle del Olivar,Q20021057,,living_street,1
Calle del Olmo,Q20021071,,living_street,1
Calle del Padre Damián,Q232785,,residential;service;tertiary,19
Calle del Padre Francisco Palau y Quer,Q921193,,residential;tertiary,8
Calle del Payaso Fofó,Q3645440,,residential,5
Calle del Peloponeso,Q78967,,residential,1
Calle del Pergamino,Q226697,,pedestrian;residential,5
Calle del Pez Volador,Q183686,,residential;service,10
Calle del Pinar del Rey,Q10349788,,residential,1
Calle del Pinsapo,Q849381,,residential;service,2
Calle del Pintor Antonio Saura,Q528511,,residential,7
Calle del Pintor Ignacio de Zuloaga,Q460198,,residential,2
Calle del Pintor Lucio Muñoz,Q168080,,residential,2
Calle del Plomo,Q708,,residential,4
Calle del Poeta Blas de Otero,Q881756,,residential;tertiary,15
Calle del Postigo de San Martín,Q6083473,,pedestrian,1
Calle del Prado,Q16389845,,living_street;residential,3
Calle del Príncipe,Q15788175,,pedestrian;residential,2
Calle del Príncipe Carlos,Q159817,,footway;residential,21
Calle del Príncipe de Vergara,Q434529,,secondary,39
Calle del Puente del Arzobispo,Q1628788,,residential;service,3
Calle del Péndulo,Q20702,,pedestrian,1
Calle del Rayo Vallecano de Madrid,Q10300,,residential,2
Calle del Rodio,Q1087,,residential,1
Calle del Río,Q48781775,,pedestrian;residential;steps,3
Calle del Río Ebro,Q10965,,secondary,5
Calle del Río Nervión,Q14353,,residential,1
Calle del Río Sella,Q14513,,residential,1
Calle del Sacramento,Q26913064,,residential,3
Calle del Salitre,Q29550986,,living_street;residential,3
Calle del Segura,Q532136,,pedestrian;residential,3
Calle del Siete de Julio,Q26777545,,pedestrian;steps,2
Calle del Simca,Q173357,,residential,3
Calle del Solara,Q964709,,residential,1
Calle del Talbot,Q173151,,residential,1
Calle del Teniente Coronel Noreña,Q21971324,,residential,2
Calle del Torcal,Q1013353,,residential,1
Calle del Tren de Arganda,Q107585406,,footway;residential,4
Calle del Ventorrillo,Q42908463,,living_street,1
Calle del Ángel de la Guarda,Q728388,,residential,2
Calle del Ónice,Q180884,,residential,2
Calle Óscar,Q9941,,residential,1
Carrera de San Jerónimo,Q5836422,,pedestrian;residential;tertiary,4
Cava de San Miguel,Q28051254,,footway,1
Cañada Real de Merinas,Q5759517,,unclassified,1
Costanilla de los Desamparados,Q18419123,,residential,2
Cuesta de San Vicente,Q5794006,,primary;residential,11
Cuesta de la Vega,Q5794014,,living_street;service;tertiary,13
GR-124 Senda Real,Q5872942,,footway,5
Glorieta Puerta de Toledo,Q2657591,,primary,9
"Glorieta de Antonio Chenel ""Antoñete""",Q601545,,tertiary,11
Glorieta de Antonio Perpiñá,Q62936123,,tertiary,15
Glorieta de Aníbal González,Q2857931,,residential,1
Glorieta de Bilbao,Q5571511,,primary;residential,7
Glorieta de Carlos Llamas,Q3394154,,residential,1
Glorieta de Embajadores,Q16571874,,primary;residential,13
Glorieta de Emilio Castelar,Q28000791,,tertiary;trunk,8
Glorieta de Eolo,Q172549,,residential,1
Glorieta de Fernando Arbós,Q5859195,,tertiary,1
Glorieta de Francisco Jareño,Q5866077,,tertiary,10
Glorieta de Julián Otamendi,Q5956173,,tertiary,1
Glorieta de Lalín,Q1374736,,residential,6
Glorieta de Luis Rosales,Q537776,,tertiary,8
Glorieta de María de Villota,Q236914,,tertiary,1
Glorieta de Paco Martínez Soria,Q150576,,residential,1
Glorieta de Pilar Miró,Q75004,,tertiary,5
Glorieta de Quevedo,Q201315,,secondary,7
Glorieta de San Martín de la Vega,Q959612,,secondary,5
Glorieta de San Vicente,Q5881390,,primary,8
Glorieta de Santa María de la Cabeza,Q55943044,,primary,13
Glorieta de las Pirámides,Q5790715,,primary,13
Glorieta del Pintor Sorolla,Q26791943,,footway,7
Glorieta del Puente de Segovia,Q2838423,,primary;tertiary;tertiary_link,5
Gran Vía,Q1324163,,residential;service;tertiary,35
La Cañada Real de Merinas,Q5759517,,residential,1
La Cañada Real de Merinas o Galiana,Q5759517,,unclassified,1
Madrid Río,Q6062341,,cycleway,1
Pasaje de Ahillones,Q389434,,footway;steps,7
Pasaje de Dios te salve María,Q42203,,footway,5
Pasaje de Matheu,Q6065308,,pedestrian,1
Paseo Alto de Casimiro Gómez Ortega,Q957993,,footway,1
Paseo Bajo de Casimiro Gómez Ortega,Q957993,,footway,1
Paseo Bajo de la Virgen del Puerto,Q3813365,,cycleway;footway;pedestrian;service,8
Paseo Eugenio María de Hostos,Q3543841,,residential,1
Paseo Imperial,Q118634190,,secondary,5
Paseo Julio Romero de Torres,Q1712402,,footway,6
Paseo de Ali Ben Yusuf,Q552458,,pedestrian,1
Paseo de Carlos III,Q36234,,footway;pedestrian;steps,12
Paseo de Eduardo Dato,Q365162,,residential;secondary;secondary_link,13
Paseo de Extremadura,Q5777,,primary,11
Paseo de Felipe III,Q34464,,service,2
Paseo de Ginebra,Q71,,residential;tertiary,10
Paseo de José Celestino Mutis,Q731937,,footway,1
Paseo de José Quer,Q957879,,footway,1
Paseo de Juan Antonio Vallejo-Nájera Botas,Q33093309;Q5947470,,pedestrian;residential,8
Paseo de La Habana,Q1563,,residential;tertiary,17
Paseo de Mariano Lagasca,Q891966,,footway,1
Paseo de Moret,Q562515,,secondary,8
Paseo de San Millán de la Cogolla,Q842220,,residential,13
Paseo de Santa María de la Cabeza,Q6065630,,primary,22
Paseo de Simón de Rojas Clemente,Q2983280,,footway,3
Paseo de Yeserías,Q16616818,,primary;residential;tertiary,10
Paseo de la Castellana,Q1473674,,construction;footway;primary;primary_link;residential;secondary;secondary_link;service;trunk;trunk_link,271
Paseo de la Florida,Q5576961,,primary,6
Paseo de la Reina Cristina,Q538125,,construction;primary;residential;secondary,7
Paseo de la Tierra de Melide,Q944002,,residential,6
Paseo de la Virgen del Puerto,Q3813365;Q6065659,,primary;residential;tertiary,19
Paseo de las Acacias,Q55947263,,secondary,12
Paseo de las Delicias,Q6065662,,primary;residential;service,29
Paseo de los Pontones,Q118634190;Q26737156,,residential;tertiary,14
Paseo del General Martínez Campos,Q548543,,tertiary,8
Paseo del Pintor Rosales,Q615701,,secondary,9
Paseo del Prado,Q2079615,,residential;service;trunk,32
Paseo del Uruguay,Q77,,pedestrian,2
Plaza Antonio Garisa,Q5698449,,secondary,4
Plaza General Vara del Rey,Q6080424,,residential,2
Plaza República del Ecuador,Q736,,residential,4
Plaza Santa Bárbara,Q192816,,pedestrian,1
Plaza Villalcázar de Sirga,Q1010261,,residential,3
Plaza de Agustín González,Q399284,,secondary,11
Plaza de Alcira,Q931780,Q931780,footway;pedestrian,8
Plaza de Alonso Martínez,Q573875,,primary;secondary;tertiary,9
Plaza de Alsacia,Q1142,,primary,12
Plaza de Andrés Manjón,Q4760226,,residential,2
Plaza de Arteijo,Q996161,,residential;service,6
Plaza de Arturo Barea,Q459293,,pedestrian,1
Plaza de Callao,Q2099125,,pedestrian,1
Plaza de Canalejas,Q3392158,,tertiary,2
Plaza de Carballo,Q166137,,residential,3
Plaza de Cascorro,Q6079936,,residential,2
Plaza de Castilla,Q786291,,secondary;service,18
Plaza de Chueca,Q24944157,,pedestrian,1
Plaza de Corcubión,Q581367,,residential,4
Plaza de Cristino Martos,Q45900966,,residential,2
Plaza de Cupido,Q5011,,residential,1
Plaza de Cuzco,Q26833863,,secondary,12
Plaza de Cánovas del Castillo,Q16620193,,residential;tertiary,9
Plaza de Don Antonio de Andrés,Q131349485,,pedestrian,1
Plaza de Elciego,Q1368834,,pedestrian,1
Plaza de España,Q1326261,,living_street;pedestrian;primary;residential;secondary,31
Plaza de Eurípides,Q48305,,residential;service,2
Plaza de Fonsagrada,Q1465213,,residential;service,5
Plaza de Francisco Morano,Q8962505,,secondary,8
Plaza de Herradores,Q28534650,,residential;tertiary,4
Plaza de Ignacio Villalonga,Q3148227,,residential,1
Plaza de Isabel II,Q6079993,,living_street;pedestrian;residential;service,5
Plaza de Jacinto Benavente,Q6080004,,pedestrian;tertiary,7
Plaza de Jaizquíbel,Q576888,,pedestrian,1
Plaza de Jesús,Q26796200,,living_street,1
Plaza de José Moreno Villa,Q981658,,residential,2
Plaza de José de Villareal,Q5946383,,living_street;pedestrian,5
Plaza de Juan Benet,Q706516,,pedestrian,5
Plaza de Juan Goytisolo,Q353762,,pedestrian,1
Plaza de Lavapiés,Q6080017,,living_street,3
Plaza de Legazpi,Q5547886,,primary,11
Plaza de Lima,Q29647450,,footway;secondary,15
Plaza de Manuel Becerra,Q3393354,,primary,9
Plaza de Margaret Thatcher,Q7416,,pedestrian,1
Plaza de Matute,Q6080024,,pedestrian,2
Plaza de Mondariz,Q639229,,residential;service,7
Plaza de Montiel,Q1610078,,footway;residential,2
Plaza de Olavide,Q27947826,,living_street,2
Plaza de Oriente,Q2193218,,pedestrian,2
Plaza de Oyarzun,Q911092,,pedestrian,2
Plaza de Padrón,Q500494,,residential,3
Plaza de Pedro Zerolo,Q6080146,,residential,2
Plaza de Puerta Cerrada,Q9060945,,pedestrian;tertiary,4
Plaza de Quito,Q2900,,residential,1
Plaza de Ramales,Q2839150,,pedestrian,1
Plaza de Ramón y Cajal,Q150526,,residential;service,4
Plaza de Redondela,Q833032,,residential,3
Plaza de Ribadeo,Q824076,,residential;service,3
Plaza de San Francisco,Q24493632,,residential;secondary,8
Plaza de San Juan de la Cruz,Q190388,,primary;residential;tertiary,10
Plaza de San Martín,Q30578759,,residential,2
Plaza de San Miguel,Q52051752,,pedestrian,5
Plaza de Santa Ana,Q740210,,pedestrian;residential,2
Plaza de Santa Bárbara,Q24481510,,tertiary,3
Plaza de Santa Cruz,Q6080086,,living_street;pedestrian,2
Plaza de Santo Domingo,Q6080106,,pedestrian;residential,11
Plaza de Santos de la Humosa,Q1648733,,tertiary,9
Plaza de Tirso de Molina,Q6080114,,residential;tertiary,5
Plaza de Tuy,Q824122,,residential,3
Plaza de Verín,Q176504,,residential;service,9
Plaza de la Armería,Q16494360,,pedestrian,2
Plaza de la Asamblea de Madrid,Q139971,,secondary,6
Plaza de la Cebada,Q9060972,,tertiary,4
Plaza de la Cibeles,Q1537446,,primary;service;trunk,13
Plaza de la Independencia,Q4967671,,primary;service,11
Plaza de la Lealtad,Q6080203,,residential;tertiary,4
Plaza de la Madre Molas,Q445228,,pedestrian;tertiary,6
Plaza de la Platería de Martínez,Q6080240,,living_street;residential,2
Plaza de la Provincia,Q12344133,,living_street,1
Plaza de la Puerta del Sol,Q427163,,pedestrian,14
Plaza de la República Argentina,Q414,,tertiary,5
Plaza de la Villa,Q2711992,,pedestrian,1
Plaza de la Villa de París,Q6080233,,pedestrian,1
Plaza de la Virgen Guadalupana,Q31877,,secondary,8
Plaza de la Virgen de la Paloma,Q6163510,,residential,2
Plaza de las Californias,Q301467,,pedestrian,1
Plaza de las Cortes,Q5482884,,living_street;residential;tertiary,13
Plaza de las Descalzas,Q6080247,,residential,3
Plaza de los Templarios,Q41300,,residential,1
Plaza del Alcalde Moreno Torres,Q9014613,,tertiary,9
Plaza del Campillo del Mundo Nuevo,Q25410652,,residential,3
Plaza del Carmen,Q6080406,,pedestrian;residential,2
Plaza del Conde de Barajas,Q29005231,,pedestrian,2
Plaza del Conde de Miranda,Q52063001,,footway;pedestrian,4
Plaza del Conde del Valle de Suchil,Q27244013,,residential,2
Plaza del Doctor Laguna,Q524380,,residential,4
Plaza del Doctor Marañón,Q708559,,primary;primary_link;trunk;trunk_link,16
Plaza del Emperador Carlos V,Q32500;Q7203711,,primary;primary_link;residential;service;trunk,15
Plaza del Fotógrafo Robert Capa,Q152524,,residential,1
Plaza del Niño Jesús,Q942467,,secondary,2
Plaza del Rastrillo,Q29834891,,pedestrian,1
Plaza del Ángel,Q5800864,,pedestrian;residential,4
Plazuela de Ana Diosdado,Q5673728,,pedestrian,1
Plazuela de San Javier,Q43008231,,pedestrian,1
Puente Enrique de la Mata Gorostizaga,Q268599,,secondary,3
Puente de Segovia,Q2838423,,primary;tertiary,5
Puente de Toledo,Q3845616,,footway,4
Ronda de Atocha,Q26831149,,primary;residential,11
Ronda de Segovia,Q27955399;Q2807,,primary;primary_link;tertiary_link,17
Ronda de Toledo,Q6111946,,primary;primary_link,12
Ronda de Valencia,Q16626200,,primary,10
San Isidoro de Sevilla,Q166876,,residential,1
Travesía de Andrés Mellado,Q5675946,,residential,1
Travesía de Aquitania,Q1179,,residential,1
Travesía de Biosca,Q1901345,,residential,1
Travesía de Capri,Q173292,,residential,1
Travesía de Felipe de Diego,Q5441962,,residential,2
Travesía de la Infanta Mercedes,Q218879,,pedestrian;residential,2
Travesía de los Cabestreros,Q20015474,,living_street,1
Travesía del Poeta Blas de Otero,Q881756,,residential,2
Túnel de O'Donnell,Q454265,,primary,2
Túnel de Ríos Rosas,Q27267331,,primary,1
Viaducto de Segovia,Q6160850,,footway,2
